,transaction_id,item,quantity,price_per_unit,total_spent,payment_method,location,transaction_date,date_diff,red_flag
3370,TXN_1063524,Smoothie,5.0,4.0,20.0,Credit Card,Unknown,2023-11-09,234.0,0
3599,TXN_1064565,Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-03-14,-240.0,1
9319,TXN_1065721,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-12-06,267.0,0
8996,TXN_1066604,Sandwich,5.0,4.0,20.0,Credit Card,Unknown,2023-05-18,-202.0,1
5769,TXN_1067052,Tea,4.0,1.5,6.0,Unknown,Takeaway,2023-02-18,-89.0,1
3425,TXN_1068317,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-03-16,26.0,0
5453,TXN_1072232,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-01-07,-68.0,1
6353,TXN_1072678,Juice,2.0,3.0,6.0,Cash,Unknown,2023-05-30,143.0,0
7204,TXN_1072984,Tea,4.0,1.5,6.0,Digital Wallet,Unknown,2023-01-11,-139.0,1
3703,TXN_1074435,Coffee,1.0,2.0,2.0,Unknown,In-store,2023-11-25,318.0,0
1635,TXN_1075183,Tea,2.0,1.5,3.0,Credit Card,Unknown,2023-01-09,-320.0,1
4271,TXN_1075446,Cookie,4.0,1.0,4.0,Credit Card,Unknown,2023-07-17,189.0,0
3780,TXN_1075969,Cookie,2.0,1.0,2.0,Digital Wallet,Unknown,2023-08-13,27.0,0
3631,TXN_1077060,Coffee,3.0,2.0,6.0,Unknown,Takeaway,2023-08-22,9.0,0
273,TXN_1077129,Cookie,1.0,1.0,1.0,Unknown,In-store,2023-09-12,21.0,0
681,TXN_1079239,Smoothie,1.0,4.0,4.0,Unknown,Takeaway,2023-02-08,-216.0,1
7017,TXN_1079241,Juice,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-07-16,158.0,0
5345,TXN_1079844,Salad,2.0,5.0,10.0,Digital Wallet,Unknown,2023-10-27,103.0,0
5033,TXN_1080377,Cake,2.0,3.0,6.0,Unknown,Unknown,2023-04-08,-202.0,1
37,TXN_1080432,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-04-29,21.0,0
3648,TXN_1082012,Smoothie,5.0,4.0,20.0,Credit Card,Unknown,2023-01-04,-115.0,1
1484,TXN_1082421,Salad,1.0,5.0,5.0,Digital Wallet,In-store,2023-12-19,349.0,0
8535,TXN_1084010,Smoothie,2.0,4.0,8.0,Credit Card,In-store,2023-08-11,-130.0,1
5981,TXN_1084222,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-06-03,-69.0,1
5469,TXN_1086324,Cake,3.0,3.0,9.0,Unknown,In-store,2023-11-25,175.0,0
6937,TXN_1088497,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-07-05,-143.0,1
743,TXN_1090854,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-01-07,-179.0,1
7343,TXN_1091115,Sandwich,5.0,4.0,20.0,Cash,Takeaway,2023-11-04,301.0,0
9417,TXN_1091243,Sandwich,2.0,4.0,8.0,Unknown,In-store,2023-01-06,-302.0,1
5094,TXN_1093668,Coffee,2.0,2.0,4.0,Digital Wallet,Unknown,2023-05-18,132.0,0
160,TXN_1093800,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-05-18,,0
4057,TXN_1094145,Cookie,3.0,1.0,3.0,Credit Card,Unknown,2023-03-15,,0
5558,TXN_1094479,Cake,3.0,3.0,9.0,Unknown,In-store,2023-06-08,85.0,0
1252,TXN_1096690,Smoothie,5.0,4.0,20.0,Credit Card,Unknown,2023-10-09,123.0,0
3343,TXN_1097334,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-03-21,-202.0,1
8592,TXN_1099119,Smoothie,4.0,4.0,16.0,Cash,Unknown,2023-02-09,-40.0,1
5167,TXN_1101527,Smoothie,5.0,4.0,20.0,Digital Wallet,Unknown,2023-04-20,70.0,0
7655,TXN_1102876,Cookie,1.0,1.0,1.0,Cash,Unknown,2023-04-20,,0
7938,TXN_1103495,Juice,1.0,3.0,3.0,Cash,Takeaway,2023-04-20,,0
7622,TXN_1103883,Cookie,5.0,1.0,5.0,Credit Card,Unknown,2023-08-09,,0
987,TXN_1104849,Sandwich,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-07-05,-35.0,1
1269,TXN_1105589,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-07-04,-1.0,1
8791,TXN_1108326,Cake,2.0,3.0,6.0,Unknown,Takeaway,2023-07-04,,0
2215,TXN_1108663,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-08-16,,0
575,TXN_1109715,Cake,1.0,3.0,3.0,Unknown,In-store,2023-07-15,-32.0,1
979,TXN_1116119,Smoothie,4.0,4.0,16.0,Digital Wallet,In-store,2023-08-07,23.0,0
3659,TXN_1118799,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-09-19,43.0,0
6035,TXN_1120969,Coffee,2.0,2.0,4.0,Credit Card,Unknown,2023-04-15,-157.0,1
8826,TXN_1121833,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-03-16,-30.0,1
940,TXN_1122140,Sandwich,4.0,4.0,16.0,Cash,Unknown,2023-06-19,95.0,0
8745,TXN_1122699,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-10-14,117.0,0
3775,TXN_1122700,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-11-09,26.0,0
615,TXN_1123138,Salad,1.0,5.0,5.0,Cash,In-store,2023-02-10,-272.0,1
6199,TXN_1123346,Tea,3.0,1.5,4.5,Unknown,Unknown,2023-07-31,171.0,0
5390,TXN_1124311,Cookie,1.0,1.0,1.0,Cash,Unknown,2023-05-05,-87.0,1
6999,TXN_1124655,Salad,3.0,5.0,15.0,Cash,Unknown,2023-10-23,171.0,0
603,TXN_1124753,Salad,4.0,5.0,20.0,Digital Wallet,In-store,2023-10-19,-4.0,1
4760,TXN_1124796,Tea,5.0,1.5,7.5,Credit Card,Unknown,2023-10-28,9.0,0
9461,TXN_1124900,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-09-08,-50.0,1
6485,TXN_1128577,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-11-23,76.0,0
4000,TXN_1130142,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-03-13,-255.0,1
352,TXN_1130191,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-04-06,24.0,0
6847,TXN_1131785,Sandwich,1.0,4.0,4.0,Cash,Unknown,2023-12-19,257.0,0
9290,TXN_1132293,Tea,4.0,1.5,6.0,Unknown,Unknown,2023-07-05,-167.0,1
2805,TXN_1132566,Cake,3.0,3.0,9.0,Cash,Unknown,2023-02-27,-128.0,1
4789,TXN_1133945,Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-10-23,238.0,0
5564,TXN_1135215,Sandwich,3.0,4.0,12.0,Unknown,In-store,2023-04-10,-196.0,1
2859,TXN_1135761,Juice,3.0,3.0,9.0,Digital Wallet,Unknown,2023-01-30,-70.0,1
181,TXN_1136554,Smoothie,3.0,4.0,12.0,Unknown,Takeaway,2023-03-26,55.0,0
2901,TXN_1139495,Salad,3.0,5.0,15.0,Digital Wallet,Unknown,2023-02-19,-35.0,1
7858,TXN_1141405,Cookie,1.0,1.0,1.0,Unknown,Unknown,2023-02-19,,0
8881,TXN_1141920,Coffee,4.0,2.0,8.0,Digital Wallet,Unknown,2023-10-26,,0
9496,TXN_1142233,Tea,5.0,1.5,7.5,Digital Wallet,Takeaway,2023-09-01,-55.0,1
2535,TXN_1145592,Juice,1.0,3.0,3.0,Credit Card,Takeaway,2023-09-11,10.0,0
2697,TXN_1145888,Coffee,4.0,2.0,8.0,Unknown,Unknown,2023-01-26,-228.0,1
9266,TXN_1148060,Cookie,5.0,1.0,5.0,Cash,Unknown,2023-10-12,259.0,0
5436,TXN_1148874,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-09-18,-24.0,1
1021,TXN_1148945,Coffee,1.0,2.0,2.0,Unknown,Unknown,2023-09-05,-13.0,1
7813,TXN_1149624,Cake,3.0,3.0,9.0,Unknown,Unknown,2023-09-14,9.0,0
133,TXN_1150033,Juice,5.0,3.0,15.0,Cash,In-store,2023-04-18,-149.0,1
6555,TXN_1151605,Coffee,1.0,2.0,2.0,Digital Wallet,Takeaway,2023-05-02,14.0,0
3516,TXN_1152249,Smoothie,3.0,4.0,12.0,Unknown,In-store,2023-05-09,7.0,0
270,TXN_1153869,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-03,178.0,0
1302,TXN_1154979,Coffee,3.0,2.0,6.0,Credit Card,In-store,2023-12-11,38.0,0
291,TXN_1157817,Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-25,-230.0,1
2781,TXN_1158197,Coffee,2.0,2.0,4.0,Unknown,Takeaway,2023-05-21,26.0,0
333,TXN_1158829,Tea,1.0,1.5,1.5,Credit Card,Unknown,2023-10-02,134.0,0
9122,TXN_1161606,Sandwich,5.0,4.0,20.0,Credit Card,Takeaway,2023-09-20,-12.0,1
3774,TXN_1165762,Coffee,3.0,2.0,6.0,Credit Card,Unknown,2023-10-22,32.0,0
3794,TXN_1165779,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-06-30,-114.0,1
9278,TXN_1166001,Juice,5.0,3.0,15.0,Cash,Unknown,2023-06-30,,0
9934,TXN_1169615,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-03-16,,0
4646,TXN_1170198,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-02-09,-35.0,1
7176,TXN_1170807,Smoothie,5.0,4.0,20.0,Unknown,In-store,2023-09-15,218.0,0
5370,TXN_1171080,Sandwich,3.0,4.0,12.0,Credit Card,Unknown,2023-07-29,-48.0,1
3897,TXN_1171281,Coffee,2.0,2.0,4.0,Digital Wallet,Unknown,2023-02-06,-173.0,1
6210,TXN_1172121,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-08-26,201.0,0
5703,TXN_1173155,Coffee,1.0,2.0,2.0,Cash,In-store,2023-03-14,-165.0,1
3238,TXN_1177438,Salad,4.0,5.0,20.0,Unknown,Takeaway,2023-08-21,160.0,0
9093,TXN_1180397,Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-04-05,-138.0,1
8641,TXN_1180623,Sandwich,5.0,4.0,20.0,Unknown,In-store,2023-09-23,171.0,0
1315,TXN_1180969,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-01-06,-260.0,1
3321,TXN_1181626,Cookie,4.0,1.0,4.0,Unknown,Takeaway,2023-02-06,31.0,0
9895,TXN_1183208,Smoothie,5.0,4.0,20.0,Unknown,Unknown,2023-08-26,201.0,0
2055,TXN_1183212,Juice,4.0,3.0,12.0,Unknown,In-store,2023-06-30,-57.0,1
557,TXN_1183995,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-03-28,-94.0,1
4667,TXN_1184377,Juice,1.0,3.0,3.0,Cash,Unknown,2023-10-25,211.0,0
9923,TXN_1184715,Cake,2.0,3.0,6.0,Unknown,Unknown,2023-09-10,-45.0,1
8731,TXN_1185003,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-01-06,-247.0,1
8596,TXN_1185069,Salad,1.0,5.0,5.0,Digital Wallet,Unknown,2023-02-21,46.0,0
1889,TXN_1185118,Juice,5.0,3.0,15.0,Unknown,Unknown,2023-02-21,,0
5131,TXN_1185156,Smoothie,4.0,4.0,16.0,Unknown,Takeaway,2023-03-23,,0
4849,TXN_1186221,Salad,4.0,5.0,20.0,Cash,Takeaway,2023-04-21,29.0,0
5088,TXN_1188551,Coffee,2.0,2.0,4.0,Unknown,Unknown,2023-03-20,-32.0,1
3100,TXN_1188596,Juice,1.0,3.0,3.0,Cash,Unknown,2023-10-24,218.0,0
4442,TXN_1190151,Juice,5.0,3.0,15.0,Digital Wallet,Unknown,2023-08-14,-71.0,1
9711,TXN_1190402,Cake,1.0,3.0,3.0,Credit Card,Takeaway,2023-12-01,109.0,0
6716,TXN_1191068,Salad,1.0,5.0,5.0,Unknown,Unknown,2023-05-19,-196.0,1
9954,TXN_1191659,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-11-21,186.0,0
9161,TXN_1192009,Coffee,1.0,2.0,2.0,Unknown,Unknown,2023-05-18,-187.0,1
7766,TXN_1192970,Coffee,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-06-17,30.0,0
5208,TXN_1193221,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-21,126.0,0
9379,TXN_1193551,Cookie,1.0,1.0,1.0,Unknown,Takeaway,2023-01-07,-287.0,1
3621,TXN_1193809,Tea,3.0,1.5,4.5,Digital Wallet,Unknown,2023-01-21,14.0,0
5839,TXN_1193930,Coffee,1.0,2.0,2.0,Cash,Unknown,2023-01-21,,0
9100,TXN_1196223,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-10-14,,0
6602,TXN_1196324,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-09-26,-18.0,1
4390,TXN_1196923,Smoothie,2.0,4.0,8.0,Unknown,Unknown,2023-04-27,-152.0,1
4339,TXN_1197495,Juice,5.0,3.0,15.0,Unknown,Takeaway,2023-04-27,,0
5303,TXN_1197536,Salad,3.0,5.0,15.0,Unknown,Takeaway,2023-10-02,,0
6551,TXN_1199898,Smoothie,1.0,4.0,4.0,Credit Card,Unknown,2023-10-26,24.0,0
1220,TXN_1200795,Sandwich,1.0,4.0,4.0,Unknown,In-store,2023-08-18,-69.0,1
3604,TXN_1203191,Coffee,5.0,2.0,10.0,Unknown,In-store,2023-10-12,55.0,0
2042,TXN_1203954,Sandwich,1.0,4.0,4.0,Digital Wallet,Unknown,2023-08-12,-61.0,1
6066,TXN_1204426,Sandwich,3.0,4.0,12.0,Credit Card,Unknown,2023-01-16,-208.0,1
5075,TXN_1205020,Tea,5.0,1.5,7.5,Cash,Unknown,2023-10-03,260.0,0
4673,TXN_1205522,Cake,5.0,3.0,15.0,Unknown,In-store,2023-12-26,84.0,0
5676,TXN_1205610,Cookie,2.0,1.0,2.0,Unknown,In-store,2023-07-19,-160.0,1
6451,TXN_1205773,Salad,5.0,5.0,25.0,Cash,Unknown,2023-01-27,-173.0,1
5605,TXN_1206585,Tea,2.0,1.5,3.0,Cash,Unknown,2023-06-29,153.0,0
6172,TXN_1208926,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-12-07,161.0,0
9236,TXN_1209852,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-11-18,-19.0,1
9721,TXN_1210058,Tea,5.0,1.5,7.5,Unknown,Unknown,2023-11-25,7.0,0
3555,TXN_1210183,Tea,3.0,1.5,4.5,Unknown,In-store,2023-01-23,-306.0,1
2580,TXN_1212652,Juice,3.0,3.0,9.0,Credit Card,Unknown,2023-01-30,7.0,0
9527,TXN_1213938,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-07-06,157.0,0
2607,TXN_1214868,Juice,4.0,3.0,12.0,Cash,In-store,2023-07-30,24.0,0
2681,TXN_1216051,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-10-28,90.0,0
6163,TXN_1217810,Cookie,1.0,1.0,1.0,Digital Wallet,Unknown,2023-07-06,-114.0,1
2871,TXN_1217959,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-07-28,22.0,0
2387,TXN_1218016,Tea,3.0,1.5,4.5,Digital Wallet,Unknown,2023-11-26,121.0,0
7296,TXN_1220061,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-09-03,-84.0,1
2389,TXN_1221777,Coffee,3.0,2.0,6.0,Unknown,In-store,2023-01-29,-217.0,1
9258,TXN_1221801,Smoothie,2.0,4.0,8.0,Unknown,Unknown,2023-06-17,139.0,0
306,TXN_1222338,Cookie,1.0,1.0,1.0,Unknown,In-store,2023-10-11,116.0,0
2518,TXN_1223805,Juice,3.0,3.0,9.0,Unknown,In-store,2023-07-04,-99.0,1
4010,TXN_1224087,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-03-20,-106.0,1
1724,TXN_1225638,Cake,4.0,3.0,12.0,Cash,Takeaway,2023-05-28,69.0,0
4371,TXN_1226662,Salad,1.0,5.0,5.0,Unknown,In-store,2023-06-17,20.0,0
1865,TXN_1227800,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-02-19,-118.0,1
8087,TXN_1228474,Smoothie,4.0,4.0,16.0,Unknown,In-store,2023-11-20,274.0,0
3325,TXN_1228652,Salad,1.0,5.0,5.0,Cash,In-store,2023-07-24,-119.0,1
7076,TXN_1228888,Cookie,1.0,1.0,1.0,Credit Card,In-store,2023-10-05,73.0,0
6663,TXN_1228927,Tea,2.0,1.5,3.0,Credit Card,Unknown,2023-11-28,54.0,0
3072,TXN_1229376,Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-08-14,-106.0,1
5155,TXN_1230311,Juice,3.0,3.0,9.0,Digital Wallet,Unknown,2023-08-14,0.0,0
8962,TXN_1231366,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-11-28,106.0,0
5358,TXN_1231531,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-07-24,-127.0,1
9791,TXN_1232346,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-01-04,-201.0,1
403,TXN_1234097,Cookie,4.0,1.0,4.0,Cash,Unknown,2023-12-04,334.0,0
6617,TXN_1234390,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-06-02,-185.0,1
6800,TXN_1234907,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-05-02,-31.0,1
3873,TXN_1235828,Tea,4.0,1.5,6.0,Cash,Takeaway,2023-02-19,-72.0,1
1172,TXN_1235969,Cookie,1.0,1.0,1.0,Digital Wallet,Unknown,2023-07-08,139.0,0
7922,TXN_1236759,Coffee,1.0,2.0,2.0,Credit Card,In-store,2023-01-26,-163.0,1
7022,TXN_1236779,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-12-29,337.0,0
9768,TXN_1237674,Tea,3.0,1.5,4.5,Credit Card,Unknown,2023-10-04,-86.0,1
2444,TXN_1239021,Sandwich,5.0,4.0,20.0,Credit Card,Unknown,2023-09-15,-19.0,1
3396,TXN_1239876,Sandwich,2.0,4.0,8.0,Digital Wallet,In-store,2023-04-04,-164.0,1
4542,TXN_1240476,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-04-20,16.0,0
8340,TXN_1242840,Smoothie,1.0,4.0,4.0,Credit Card,Unknown,2023-08-26,128.0,0
1574,TXN_1243964,Tea,3.0,1.5,4.5,Unknown,Takeaway,2023-12-01,97.0,0
3362,TXN_1244299,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-07-18,-136.0,1
3298,TXN_1244509,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-02-21,-147.0,1
2666,TXN_1244593,Salad,5.0,5.0,25.0,Unknown,In-store,2023-04-11,49.0,0
4264,TXN_1244739,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-09-13,155.0,0
8566,TXN_1245485,Cake,1.0,3.0,3.0,Digital Wallet,Unknown,2023-05-15,-121.0,1
4284,TXN_1247244,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-12-27,226.0,0
2380,TXN_1248167,Sandwich,1.0,4.0,4.0,Cash,Unknown,2023-03-05,-297.0,1
1860,TXN_1248266,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-10-14,223.0,0
2186,TXN_1248436,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-08-14,-61.0,1
2236,TXN_1249069,Coffee,2.0,2.0,4.0,Unknown,Unknown,2023-01-22,-204.0,1
2982,TXN_1250407,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-11-21,303.0,0
9363,TXN_1251960,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-11-20,-1.0,1
4429,TXN_1252575,Tea,1.0,1.5,1.5,Digital Wallet,Takeaway,2023-10-16,-35.0,1
4506,TXN_1253619,Juice,5.0,3.0,15.0,Unknown,Unknown,2023-05-25,-144.0,1
8454,TXN_1254663,Coffee,3.0,2.0,6.0,Unknown,Unknown,2023-08-15,82.0,0
6048,TXN_1255476,Smoothie,1.0,4.0,4.0,Unknown,Unknown,2023-08-28,13.0,0
8451,TXN_1256513,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-02-21,-188.0,1
2902,TXN_1256536,Salad,1.0,5.0,5.0,Unknown,Takeaway,2023-12-16,298.0,0
9383,TXN_1256851,Sandwich,4.0,4.0,16.0,Unknown,In-store,2023-07-29,-140.0,1
2585,TXN_1259340,Tea,3.0,1.5,4.5,Digital Wallet,Unknown,2023-02-24,-155.0,1
327,TXN_1259671,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-10-08,226.0,0
618,TXN_1259824,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-04-29,-162.0,1
